sampleId,country,city,collectionDate,lat,long,season,locality,type,continent,set,nFlies,SRA_accession,SRA_experiment,year,yday,stationId,dist_km
FR_Vil_16_9,France,Viltain,2016/08/12,48.7543324,2.1584108,spring,FR_Vil,pooled,Europe,DrosEU,40,SRR8494435,SRX5299032,2016,225,FR000007150,15.1694921556611
GS_Des_15_1,Guadeloupe,Deshaies,2015/12/16,16.32,-61.78,fall,GS_Des,pooled,Europe,DrosEU,40,SRR8439114,SRX5246595,2015,350,GP000078897,20.0175345190497
GS_Sai_15_2,Guadeloupe,Saint Francois,2015/12/23,16.25,-61.28,fall,GS_Sai,pooled,Europe,DrosEU,40,SRR8439112,SRX5246596,2015,357,GP000078897,34.2778905085911
HU_Sze_16_14,Hungary,Szeged,2016/08/28,46.25,20.13,spring,HU_Sze,pooled,Europe,DrosEU,40,SRR8494453,SRX5299014,2016,241,HUM00012982,2.31340672740607
IT_Mez_15_43,Italy,Mezzocorona,2015/09/29,46.212856,11.08755,spring,IT_Mez,pooled,Europe,DrosEU,40,SRR8439118,SRX5246590,2015,272,IT000160220,8.15411785792497
IT_Mez_15_44,Italy,Mezzolombardo,2015/10/10,46.217939,11.123423,fall,IT_Mez,pooled,Europe,DrosEU,40,SRR8439119,SRX5246589,2015,283,IT000160220,10.2790683924711
IT_Tre_16_15,Italy,Trentino (San Michele a/A),2016/08/24,46.2,11.13333,spring,IT_Tre,pooled,Europe,DrosEU,40,SRR8494456,SRX5299011,2016,237,IT000160220,9.52840655464969
PO_Brz_15_12,Poland,Brzezina,2015/09/28,54.27342,19.620169,spring,PO_Brz,pooled,Europe,DrosEU,40,SRR8439154,SRX5246554,2015,271,PLM00012160,17.01097880238
PO_Brz_16_17,Poland,Brzezina,2016/08/08,54.27342,19.620169,spring,PO_Brz,pooled,Europe,DrosEU,40,SRR8494458,SRX5299009,2016,221,PLM00012160,17.01097880238
PO_Gda_16_16,Poland,Gdansk,2016/08/01,54.35,18.64,spring,PO_Gda,pooled,Europe,DrosEU,40,SRR8494455,SRX5299012,2016,214,PLM00012160,55.5479386152489
PT_Rec_14_33,Portugal,Recarei,2014/09/26,41.15,-8.41,fall,PT_Rec,pooled,Europe,DrosEU,40,SRR5647770,SRX2885338,2014,269,POM00008548,111.152783434578
PT_Rec_15_16,Portugal,Recarei,2015/09/01,41.15,-8.41,spring,PT_Rec,pooled,Europe,DrosEU,40,SRR8439150,SRX5246558,2015,244,POM00008548,111.152783434578
PT_Rec_16_18,Portugal,Recarei,2016/10/01,41.15,-8.41,fall,PT_Rec,pooled,Europe,DrosEU,40,SRR8494457,SRX5299010,2016,275,POM00008548,111.152783434578
RS_Kal_16_28,Serbia,Kalna,2016/06/30,43.4,22.42,spring,RS_Kal,pooled,Europe,DrosEU,40,SRR8494479,SRX5298988,2016,182,RIE00100814,42.7985935792149
